,Country,Valence,Popularity,Loudness,Danceability,Energy
0,mexican,0.47642392939814815,32.12738626316212,-12.205858845417033,0.5181591734793782,0.4515799620291107
1,australian,0.4764239293981482,32.12738626316212,-12.205858845417035,0.5181591734793782,0.4515799620291107
2,argentine,0.4764239293981482,32.12738626316212,-12.205858845417039,0.5181591734793783,0.45157996202911077
3,colombian,0.47642392939814815,32.12738626316212,-12.205858845417037,0.5181591734793783,0.45157996202911077
4,chile,0.47642392939814815,32.12738626316212,-12.205858845417037,0.5181591734793782,0.45157996202911077
5,japan,0.4764239293981482,32.12738626316212,-12.205858845417035,0.5181591734793781,0.45157996202911077
6,chinese,0.4764239293981482,32.12738626316212,-12.205858845417039,0.5181591734793781,0.45157996202911077
7,spanish,0.4764239293981482,32.12738626316212,-12.20585884541704,0.518159173479378,0.45157996202911077
8,canadian,0.47642392939814826,32.12738626316212,-12.205858845417042,0.518159173479378,0.4515799620291107
9,american,0.47642392939814837,32.12738626316212,-12.205858845417044,0.518159173479378,0.45157996202911077
10,french,0.4764239293981484,32.12738626316212,-12.205858845417042,0.5181591734793779,0.4515799620291108
11,german,0.4764239293981485,32.12738626316212,-12.20585884541704,0.5181591734793779,0.4515799620291108
12,russia,0.47642392939814854,32.12738626316212,-12.205858845417039,0.5181591734793778,0.4515799620291109
13,indonesian,0.4764239293981486,32.12738626316212,-12.205858845417039,0.5181591734793778,0.4515799620291109
14,indian,0.4764239293981486,32.12738626316212,-12.205858845417037,0.5181591734793778,0.45157996202911094
15,south african,0.47642392939814865,32.12738626316212,-12.205858845417037,0.5181591734793778,0.45157996202911094
16,nigerian,0.4764239293981487,32.12738626316212,-12.205858845417037,0.5181591734793779,0.45157996202911094
17,belgian,0.47642392939814865,32.127386263162116,-12.205858845417035,0.5181591734793779,0.45157996202911094
18,brazil,0.47642392939814865,32.127386263162116,-12.205858845417035,0.518159173479378,0.45157996202911094
19,british,0.4764239293981486,32.12738626316211,-12.205858845417035,0.518159173479378,0.45157996202911094
20,czech,0.4764239293981486,32.12738626316211,-12.205858845417035,0.5181591734793781,0.45157996202911094
21,danish,0.4764239293981486,32.12738626316211,-12.205858845417033,0.5181591734793781,0.451579962029111
22,dutch,0.4764239293981486,32.12738626316211,-12.205858845417033,0.5181591734793782,0.451579962029111
23,greek,0.47642392939814854,32.1273862631621,-12.205858845417033,0.5181591734793782,0.451579962029111
24,icelandic,0.47642392939814854,32.1273862631621,-12.205858845417033,0.5181591734793782,0.451579962029111
25,israeli,0.47642392939814854,32.1273862631621,-12.205858845417033,0.5181591734793783,0.451579962029111
